name,2008,2009,2010,2011,2012,2013,2014,2015
Blue Springs,1.2,1.4,1.1,1.1,1.5,1.5,0.9,1.1
Blue Valley,0.42,0.27,0,0.05,0.05,0.14,0.38,0.35
Bonner Springs,3.26,1.49,1.63,0.78,0,0.94,3.76,4.76
Center,5.9,4,5,5.2,3.9,3.7,3,3.5
Clinton,2.1,1,0.5,0.3,0,0.1,0.4,0.1
De Soto,1.7,1.4,2.3,2.4,3.4,1.7,0.8,0.8
Excelsior Springs,2.3,1.4,2,2.5,3,3.8,2.8,2.8
Fort Osage,0.7,1.2,0.8,1.2,2,1.6,1.5,1.7
Gardner Edgerton,0.24,0,0,0.1,0.24,0,0.89,0.47
Grain Valley,1.2,0.8,0.7,1,1.6,0.6,0.3,0.5
Grandview,3.2,3.9,3.8,2.5,3.4,2,2.5,2.1
Hickman Mills,3.5,3.2,4.2,4,4.1,2.8,8.6,6.5
Independence,3,3.2,3.1,3,1.9,1.2,1.6,0.9
Kansas City Public Schools,7.6,6.3,4.1,8.3,6.9,7.5,7.3,7.4
Kansas City Kansas,2.43,2.21,2.68,4.88,3.56,3.63,4.15,4.28
Kearney,0.9,0.6,0.7,0.8,0.8,0.8,0.5,1.1
Lawson,0.6,0.2,0.8,0.4,0.7,0.3,0.9,0.4
Lee's Summit,1.4,1.6,1.4,1.2,1,0.7,0.7,0.6
Liberty,0.3,0.2,0.2,0.5,0.5,0.5,0.5,0.7
Lone Jack,0.5,0.2,0.2,0.2,0,0.2,0.4,0.7
North Kansas City,1.4,0.9,0.7,0.8,0.6,0.6,0.5,0.6
North Platte,0,0.8,0.5,0.2,0.5,0.5,0.5,0.2
Oak Grove,0.5,1.7,1.3,1.2,1.3,1.3,0.8,1
Olathe,0.83,0.55,0.56,1.19,1.09,0.96,0.88,1.31
Park Hill,1.2,1.4,1.3,0.5,0.9,0.6,0.5,0.9
Platte,0.8,0.8,0.7,0.6,0.7,0.8,0.4,0.5
Raytown,3.2,2.4,3,2.6,0.8,0.7,0.7,0.9
Shawnee Mission,0.74,0.73,0.6,0.85,0.52,0.57,0.94,0.96
Smithville,1.1,0.5,0.3,0.3,1,0.5,0.6,1.2
Spring Hill,0.64,0.41,0,0.4,0.58,0.3,0.33,0.77
Turner,1.15,3.83,4.27,3.41,4.33,3,3.71,4.94
West Platte,0,0.2,0.2,0,0,0.9,0.3,0
Average,1.69,1.52,1.52,1.64,1.59,1.39,1.63,1.69
